order_id,fk_buyer_id,fk_depot_id,sales_order_status,creation_time
119874,82228,5,Rejected,2021-07-01 00:35:28.0
119877,40476,1,Rejected,2021-07-01 02:02:43.0
119880,41728,8,Shipped,2021-07-01 02:42:12.0
119883,97616,4,Rejected,2021-07-01 02:56:00.0
119886,12440,1,Rejected,2021-07-01 03:11:31.0
119889,92408,1,Rejected,2021-07-01 03:18:37.0
119892,79316,4,Shipped,2021-07-01 03:19:14.0
119895,48308,5,Rejected,2021-07-01 03:35:01.0
119898,48308,5,Rejected,2021-07-01 03:39:56.0
119901,48308,5,Rejected,2021-07-01 03:40:20.0
119904,85584,8,Rejected,2021-07-01 04:08:46.0
119907,45252,8,Shipped,2021-07-01 04:50:38.0
119910,100064,3,Rejected,2021-07-01 04:56:49.0
119913,82800,3,Rejected,2021-07-01 04:58:29.0
119916,76852,1,Rejected,2021-07-01 05:12:10.0
119919,46024,1,Shipped,2021-07-01 05:31:27.0
119922,100036,9,Rejected,2021-07-01 05:38:41.0
119925,93520,9,Rejected,2021-07-01 05:39:10.0
119928,61412,9,Rejected,2021-07-01 05:45:59.0
119931,70876,5,Rejected,2021-07-01 05:50:23.0
119934,100040,3,Rejected,2021-07-01 05:52:13.0
119937,100064,3,Rejected,2021-07-01 05:52:15.0
119940,100040,3,Rejected,2021-07-01 05:52:53.0
119943,82372,8,Shipped,2021-07-01 05:57:40.0
119946,62720,4,Rejected,2021-07-01 06:02:44.0
119949,39464,5,Rejected,2021-07-01 06:04:56.0
119952,68092,3,Shipped,2021-07-01 06:05:56.0
119955,62720,4,Shipped,2021-07-01 06:06:18.0
119958,100036,9,Rejected,2021-07-01 06:07:47.0
119961,62720,4,Rejected,2021-07-01 06:10:12.0
119964,62720,4,Rejected,2021-07-01 06:14:03.0
119967,98124,2,Rejected,2021-07-01 06:18:39.0
119970,92988,9,Rejected,2021-07-01 06:20:07.0
119973,72272,1,Rejected,2021-07-01 06:20:45.0
119976,54624,1,Shipped,2021-07-01 06:21:10.0
119979,75252,2,Rejected,2021-07-01 06:25:51.0
119982,86236,3,Rejected,2021-07-01 06:33:57.0
119985,39348,1,Shipped,2021-07-01 06:34:40.0
119988,90308,1,Shipped,2021-07-01 06:36:10.0
119991,100160,3,Rejected,2021-07-01 06:39:28.0
119994,1640,1,Shipped,2021-07-01 06:39:34.0
119997,1640,1,Shipped,2021-07-01 06:40:55.0
120000,98124,2,Shipped,2021-07-01 06:44:26.0
120003,100168,3,Rejected,2021-07-01 06:45:14.0
120006,75204,4,Rejected,2021-07-01 06:51:32.0
120009,75204,4,Rejected,2021-07-01 06:56:20.0
