order_item_id,fk_product_id,fk_order_id,ordered_quantity,order_quantity_accepted,rate
62609,7818,119874,1,0,4993
62610,7607,119877,1,0,6203.4
62611,9916,119880,2,2,2904.41
62612,11118,119880,2,2,2205
62613,12702,119880,2,2,2200.85
62614,11110,119883,2,0,2723
62615,3234,119886,1,0,10700
62616,8221,119889,1,0,2726.15
62617,8425,119892,2,2,3581
62618,1548,119895,1,0,10509
62619,1548,119895,2,0,10763
62620,1548,119895,2,0,5551
62621,1548,119898,1,0,10509
62622,1548,119898,2,0,10763
62623,1548,119898,2,0,5551
62624,1548,119901,1,0,10509
62625,1548,119901,2,0,10763
62626,1548,119901,2,0,5551
62627,8424,119904,1,0,8127
62628,8424,119904,1,0,7791
62629,8424,119904,1,0,7239
62630,8457,119904,2,0,15834
62631,8457,119904,1,0,8213
62632,8457,119904,1,0,15538
62633,9924,119907,1,1,5021
62634,9924,119907,1,1,4833
62635,11267,119907,2,0,2656.07
62636,1041,119910,1,0,5129
62637,1041,119910,1,0,4927
62638,9897,119913,1,0,2062
62639,2862,119916,1,0,4200
62640,11143,119919,1,1,2718
62641,7781,119919,1,1,3657
62642,11958,119922,1,0,3737
62643,11958,119922,1,0,2028.81
62644,8649,119925,1,0,3593.22
62645,11143,119928,2,0,2810
62646,1805,119931,1,0,18732.9
62647,11117,119934,1,0,3528
62648,1041,119937,1,0,5429
62649,11117,119940,1,0,3528
62650,11143,119943,1,1,2810
62651,11143,119943,1,1,2688
62652,3615,119946,1,0,4252
62653,11189,119946,2,0,5178
62654,12784,119949,1,0,3100
62655,9916,119952,2,2,2904.41
62656,11107,119952,2,2,3112.09
62657,3615,119955,1,1,4252
62658,11189,119955,2,1,5178
62659,8649,119958,1,0,3593.22
62660,9916,119958,1,0,2269.07
62661,10520,119958,1,0,4057.63
62662,11958,119958,1,0,2028.81
62663,3615,119961,1,0,4252
62664,11189,119961,2,0,5178
62665,3615,119964,1,0,4252
62666,11189,119964,2,0,5178
62667,9925,119967,1,0,3096.61
62668,11731,119970,1,0,4402
62669,7243,119973,5,0,3179.91
62670,7835,119976,3,3,4148
62671,8428,119979,10,0,798
62672,1040,119982,1,0,3921
62673,1040,119982,2,0,4280
62674,1040,119982,2,0,4071
62675,7867,119985,7,7,2056
62676,7867,119985,2,2,2215
62677,7867,119985,1,1,2374
62678,8219,119988,13,13,13288.2
62679,8219,119988,5,5,13488.3
62680,8219,119988,2,2,13597
62681,11169,119991,1,0,5019
62682,3610,119994,2,2,12364
62683,12652,119997,2,2,7203.4
62684,9925,120000,1,1,3096.61
62685,9919,120003,2,0,4078.98
62686,1041,120003,1,0,5738
62687,7526,120006,1,0,5438.14
62688,7526,120009,1,0,5672.67
62689,10204,120012,3,0,3479
62690,8444,120015,1,0,3166.8
62691,8219,120018,1,1,13288.2
62692,8219,120018,1,0,13488.3
62693,9925,120021,1,1,3730
62694,9796,120024,3,0,2656.8
62695,11907,120027,2,0,3932.25
62696,1039,120030,3,3,2478
62697,3284,120033,1,0,2892
62698,11907,120036,1,1,3932.25
62699,3603,120039,5,2,5629
62700,7640,120042,1,0,12883.8
62701,10529,120045,1,0,7257
62702,8425,120048,1,1,3522.2
62703,3284,120051,1,0,3306
62704,11147,120054,1,0,1365
62705,1039,120057,5,0,2236
62706,3610,120057,1,0,12674
62707,3603,120057,5,0,5629
